shot_id,result,xg,h_a,team,for_against_type,x,y,total_points,games_played,current_league_position,current_goals_scored,current_goals_against
585164,OwnGoal,0.0,h,Brentford,Against,1.9200000286102297,40.32000122070312,28,22,11,40,-39
584630,MissedShots,0.050078392028808594,h,Manchester United,For,116.51999816894532,53.840002441406256,26,22,13,27,-32
584631,MissedShots,0.020807035267353058,h,Manchester United,For,89.63999633789062,38.320001220703126,26,22,13,27,-32
584632,SavedShot,0.25769174098968506,h,Manchester United,For,109.56000366210938,27.679998779296877,26,22,13,27,-32
584633,SavedShot,0.4701629877090454,h,Manchester United,For,109.56000366210938,37.039999389648436,26,22,13,27,-32
584634,MissedShots,0.01805894263088703,h,Manchester United,For,114.96000366210937,47.92000122070313,26,22,13,27,-32
584635,MissedShots,0.07073989510536194,h,Manchester United,For,96.96000366210937,35.83999938964843,26,22,13,27,-32
584638,SavedShot,0.46622347831726074,h,Manchester United,For,111.36000366210938,45.03999938964844,26,22,13,27,-32
584639,BlockedShot,0.03356590494513512,h,Manchester United,For,93.60000000000001,45.03999938964844,26,22,13,27,-32
584640,MissedShots,0.029925644397735596,h,Manchester United,For,94.56000366210938,46.0,26,22,13,27,-32
584642,BlockedShot,0.03178107738494873,h,Manchester United,For,93.1199981689453,39.2,26,22,13,27,-32
584643,MissedShots,0.023224636912345886,h,Manchester United,For,94.80000000000001,32.87999877929687,26,22,13,27,-32
584647,SavedShot,0.09460592269897461,h,Manchester United,For,98.28000183105469,43.36000061035156,26,22,13,27,-32
584648,Goal,0.09523133933544159,h,Manchester United,For,108.83999633789062,35.120001220703124,26,22,13,27,-32
584650,MissedShots,0.3805783987045288,h,Manchester United,For,105.11999816894532,36.16000061035156,26,22,13,27,-32
584627,MissedShots,0.036473482847213745,a,Fulham,For,104.03999633789063,22.23999938964844,33,22,10,34,-30
584628,SavedShot,0.021440427750349045,a,Fulham,For,87.23999633789062,40.07999877929688,33,22,10,34,-30
584629,BlockedShot,0.03738508000969887,a,Fulham,For,106.68000183105468,36.47999877929688,33,22,10,34,-30
584636,MissedShots,0.018717896193265915,a,Fulham,For,115.43999633789062,50.23999938964843,33,22,10,34,-30
584637,MissedShots,0.06600375473499298,a,Fulham,For,114.11999816894532,47.43999938964844,33,22,10,34,-30
584641,SavedShot,0.04453698918223381,a,Fulham,For,103.56000366210938,38.720001220703125,33,22,10,34,-30
584644,BlockedShot,0.05785633623600006,a,Fulham,For,97.08000183105469,40.960000610351564,33,22,10,34,-30
584645,BlockedShot,0.020298421382904053,a,Fulham,For,90.96000366210937,28.879998779296873,33,22,10,34,-30
584646,BlockedShot,0.03420756012201309,a,Fulham,For,98.76000366210937,45.76000061035156,33,22,10,34,-30
584649,MissedShots,0.0817909836769104,a,Fulham,For,109.80000000000001,34.23999938964844,33,22,10,34,-30
584686,BlockedShot,0.04620541259646416,h,Ipswich,For,102.83999633789062,26.16000061035156,16,21,18,20,-37
584688,SavedShot,0.05428255349397659,h,Ipswich,For,109.56000366210938,40.560000610351565,16,21,18,20,-37
584690,SavedShot,0.08377160131931305,h,Ipswich,For,94.56000366210938,36.0,16,21,18,20,-37
584691,MissedShots,0.048458486795425415,h,Ipswich,For,109.2,42.720001220703125,16,21,18,20,-37
584701,MissedShots,0.04051180183887482,h,Ipswich,For,102.4800018310547,39.279998779296875,16,21,18,20,-37
584710,BlockedShot,0.0156412236392498,h,Ipswich,For,94.80000000000001,48.4,16,21,18,20,-37
584711,BlockedShot,0.05373026803135872,h,Ipswich,For,110.28000183105469,52.800000000000004,16,21,18,20,-37
584687,BlockedShot,0.020976830273866653,a,Liverpool,For,90.71999816894531,27.520001220703122,50,21,1,50,-20
584689,BlockedShot,0.03314458578824997,a,Liverpool,For,99.0,49.039999389648436,50,21,1,50,-20
584692,MissedShots,0.029116395860910416,a,Liverpool,For,97.31999816894532,28.799999999999997,50,21,1,50,-20
584693,BlockedShot,0.0402679517865181,a,Liverpool,For,104.88000183105468,27.039999389648436,50,21,1,50,-20
584694,MissedShots,0.029835231602191925,a,Liverpool,For,97.91999816894531,50.720001220703125,50,21,1,50,-20
584695,MissedShots,0.7516331076622009,a,Liverpool,For,114.4800018310547,42.07999877929687,50,21,1,50,-20
584696,BlockedShot,0.08850812166929245,a,Liverpool,For,102.36000366210938,44.23999938964844,50,21,1,50,-20
584697,BlockedShot,0.05343359708786011,a,Liverpool,For,97.08000183105469,42.47999877929687,50,21,1,50,-20
584698,MissedShots,0.41533225774765015,a,Liverpool,For,111.4800018310547,39.120001220703124,50,21,1,50,-20
584699,Goal,0.44803667068481445,a,Liverpool,For,108.23999633789063,41.92000122070312,50,21,1,50,-20
584700,Goal,0.5713244676589966,a,Liverpool,For,112.43999633789063,35.92000122070313,50,21,1,50,-20
584702,SavedShot,0.40319985151290894,a,Liverpool,For,100.43999633789062,45.03999938964844,50,21,1,50,-20
584703,MissedShots,0.04818877577781677,a,Liverpool,For,109.68000183105468,43.6,50,21,1,50,-20
584704,BlockedShot,0.134298637509346,a,Liverpool,For,108.36000366210938,48.720001220703125,50,21,1,50,-20
584705,MissedShots,0.016664598137140274,a,Liverpool,For,94.80000000000001,36.800000000000004,50,21,1,50,-20
584706,BlockedShot,0.12883269786834717,a,Liverpool,For,108.48000183105468,46.960000610351564,50,21,1,50,-20
584707,SavedShot,0.08194273710250854,a,Liverpool,For,111.71999816894531,27.76000061035156,50,21,1,50,-20
584708,BlockedShot,0.07648533582687378,a,Liverpool,For,106.2,32.16000061035156,50,21,1,50,-20
584709,SavedShot,0.5641074180603027,a,Liverpool,For,115.6800018310547,33.679998779296874,50,21,1,50,-20
584738,SavedShot,0.01839972287416458,h,Arsenal,For,88.2,34.8,44,22,2,43,-21
584739,BlockedShot,0.04652799665927887,h,Arsenal,For,101.51999816894532,26.479998779296878,44,22,2,43,-21
584740,SavedShot,0.042397331446409225,h,Arsenal,For,104.63999633789062,23.68000030517578,44,22,2,43,-21
584741,MissedShots,0.03666941821575165,h,Arsenal,For,98.16000366210938,27.679998779296877,44,22,2,43,-21
584742,SavedShot,0.04708961397409439,h,Arsenal,For,101.16000366210938,26.560000610351562,44,22,2,43,-21
584743,MissedShots,0.09148702770471573,h,Arsenal,For,101.8800018310547,44.400000000000006,44,22,2,43,-21
584744,Goal,0.38228997588157654,h,Arsenal,For,110.76000366210938,39.679998779296874,44,22,2,43,-21
584747,MissedShots,0.3456461727619171,h,Arsenal,For,111.60000000000001,35.52000122070312,44,22,2,43,-21
584748,MissedShots,0.03208760544657707,h,Arsenal,For,90.48000183105468,36.4,44,22,2,43,-21
584749,BlockedShot,0.08772515505552292,h,Arsenal,For,112.56000366210937,53.75999755859375,44,22,2,43,-21
584750,MissedShots,0.11598746478557587,h,Arsenal,For,105.83999633789062,46.47999877929688,44,22,2,43,-21
584751,BlockedShot,0.0635012686252594,h,Arsenal,For,113.88000183105468,35.76000061035156,44,22,2,43,-21
